match_event_id,location_x,location_y,remaining_min,power_of_shot,remaining_sec,distance_of_shot,area_of_shot,shot_basics,range_of_shot,shot_id_number,type_of_shot,type_of_combined_shot,lat,lng,date
12,-1.5302844873810422,-1.0979114102604683,10,1.0,22,35.0,2,4,2,2,1.1637262975631995,3,1.0842173091335374,-2.0795096439132914,6837
35,-1.0093016067473632,0.5469123331705587,7,1.0,45,36.0,1,4,0,3,-0.5583779859807212,3,1.0842173091335374,-2.0795096439132914,6837
43,1.214178901671373,1.0342675164093815,6,1.0,52,42.0,4,4,0,4,0.21656894161404308,3,1.0842173091335374,-2.0795096439132914,6837
155,-0.06967176846162106,-1.0979114102604683,5,2.0,19,20.0,0,0,4,5,0.21656894161404308,1,1.0842173091335374,-2.0795096439132914,6837
244,-1.4186452986738252,-1.2319340856511445,9,3.0,32,34.0,2,4,2,6,-1.2472196993982896,3,1.0842173091335374,-2.0795096439132914,6837
251,-0.06967176846162106,-1.0979114102604683,8,3.0,52,20.0,0,0,4,7,0.21656894161404308,4,1.0842173091335374,-2.0795096439132914,6837
265,-0.6743840406257126,0.012368174086644788,6,3.0,12,32.0,2,1,2,9,0.38877936996843515,3,1.0842173091335374,-2.0795096439132914,6837
294,-0.3766795374064675,0.012368174086644788,3,3.0,36,32.0,0,1,2,10,1.0776210833860034,3,1.0842173091335374,-2.0795096439132914,6837
309,-0.9441787466681534,1.8018519300105276,1,3.0,56,45.0,1,5,1,11,-2.10827184117025,3,1.0842173091335374,-2.0795096439132914,6837
4,1.0560233843361493,0.4494412965227941,11,1.0,0,37.0,4,4,0,12,0.21656894161404308,3,0.5614983849498524,0.7734933492541374,6836
27,-0.6929905720769154,0.012368174086644788,7,1.0,28,33.44888431,2,1,2,13,1.0776210833860034,3,0.5614983849498524,0.7734933492541374,6836
66,-0.9441787466681534,-1.049175891936586,5,1.0,44,29.0,2,4,2,14,0.21656894161404308,3,0.5614983849498524,0.7734933492541374,6836
80,-0.2836468801504534,-0.5252690699548515,1,1.0,16,25.0,0,1,4,15,-1.6777457702842697,3,0.5614983849498524,0.7734933492541374,6836
86,-0.0009776075486898122,1.241393469285881,0,1.0,28,40.0,0,4,0,16,0.21656894161404308,3,0.5614983849498524,0.7734933492541374,6836
138,-1.1581538583569857,1.6556453750388807,8,2.0,50,45.0,1,4,4,18,-2.194377055347446,3,0.5614983849498524,0.7734933492541374,6836
244,-0.0009776075486898122,0.08392490909367699,11,3.0,29,36.0,1,4,0,19,0.21656894161404308,3,0.5614983849498524,0.7734933492541374,6836
255,-0.04176197128481683,0.6565672493992938,10,3.0,8,34.0,0,4,2,21,-0.9889040568667015,3,0.5614983849498524,0.7734933492541374,6836
274,-0.21852402007124358,0.2423153436462944,7,3.0,57,31.0,0,1,2,23,1.0776210833860034,3,0.5614983849498524,0.7734933492541374,6836
299,-1.0837277325521746,0.7296705268851171,5,3.0,47,38.0,1,4,0,24,0.21656894161404308,3,0.5614983849498524,0.7734933492541374,6836
307,-0.4976219918392858,-0.33032699665932236,5,3.0,11,27.0,0,1,4,25,0.21656894161404308,3,0.5614983849498524,0.7734933492541374,6836
332,-0.06967176846162106,-1.0979114102604683,2,3.0,36,20.0,0,0,4,26,0.21656894161404308,4,0.5614983849498524,0.7734933492541374,6836
345,-0.0009776075486898122,1.2901289876097635,2,3.0,4,40.0,0,4,0,27,-0.12785191509474106,3,0.5614983849498524,0.7734933492541374,6836
369,-1.7721693962466787,1.1682901918000577,0,3.0,30,46.0,1,5,1,28,1.938673225157964,3,0.5614983849498524,0.7734933492541374,6836
400,0.7211058182144985,1.0098997572474402,8,4.0,28,39.0,4,4,0,29,0.21656894161404308,3,0.5614983849498524,0.7734933492541374,6836
429,-0.04176197128481683,-0.0379138867160287,6,4.0,22,28.0,0,1,2,30,0.9054106550316113,3,0.5614983849498524,0.7734933492541374,6836
488,1.0560233843361493,-1.049175891936586,1,4.0,20,33.44888431,5,4,2,31,1.0776210833860034,3,0.5614983849498524,0.7734933492541374,6836
499,1.1118429786897577,-0.6836595045074689,0,4.0,30,33.0,5,4,2,32,0.21656894161404308,3,0.5614983849498524,0.7734933492541374,6836
184,0.776925412568107,1.1439224326381165,3,2.0,30,40.0,4,4,0,39,0.21656894161404308,3,1.8430667440595818,-2.1053063510406185,6833
202,-0.32085994305285903,2.2161038357635268,0,2.0,4,47.0,0,5,1,40,0.21656894161404308,3,1.8430667440595818,-2.1053063510406185,6833
212,-1.707046536167469,-0.2937753579164107,11,3.0,12,38.0,2,4,0,41,0.21656894161404308,3,1.8430667440595818,-2.1053063510406185,6833
219,-0.004548908382411203,-1.049175891936586,10,3.0,13,20.0,0,0,4,42,0.6470950125000232,3,1.8430667440595818,-2.1053063510406185,6833
